timestamp,node_price
2024/1/1 0:00,350
2024/1/1 1:00,310
2024/1/1 2:00,282
2024/1/1 3:00,49
2024/1/1 4:00,0
2024/1/1 5:00,0
2024/1/1 6:00,0
2024/1/1 7:00,0
2024/1/1 8:00,0
2024/1/1 9:00,0
2024/1/1 10:00,0
2024/1/1 11:00,0
2024/1/1 12:00,35
2024/1/1 13:00,41
2024/1/1 14:00,0
2024/1/1 15:00,0
2024/1/1 16:00,0
2024/1/1 17:00,100
2024/1/1 18:00,322
2024/1/1 19:00,333
2024/1/1 20:00,330
2024/1/1 21:00,311
2024/1/1 22:00,260
2024/1/1 23:00,50
2024/1/2 0:00,299
2024/1/2 1:00,290
2024/1/2 2:00,280
2024/1/2 3:00,257
2024/1/2 4:00,50
2024/1/2 5:00,175
2024/1/2 6:00,320
2024/1/2 7:00,384
2024/1/2 8:00,442
2024/1/2 9:00,537
2024/1/2 10:00,548
2024/1/2 11:00,536
2024/1/2 12:00,394
2024/1/2 13:00,438
2024/1/2 14:00,486
2024/1/2 15:00,479
2024/1/2 16:00,496
2024/1/2 17:00,516
2024/1/2 18:00,499
2024/1/2 19:00,491
2024/1/2 20:00,490
2024/1/2 21:00,486
2024/1/2 22:00,484
2024/1/2 23:00,426
2024/1/3 0:00,426
2024/1/3 1:00,406
2024/1/3 2:00,396
2024/1/3 3:00,383
2024/1/3 4:00,362
2024/1/3 5:00,360
2024/1/3 6:00,396
2024/1/3 7:00,430
2024/1/3 8:00,486
2024/1/3 9:00,500
2024/1/3 10:00,514
2024/1/3 11:00,501
2024/1/3 12:00,359
2024/1/3 13:00,414
2024/1/3 14:00,458
2024/1/3 15:00,462
2024/1/3 16:00,490
2024/1/3 17:00,496
2024/1/3 18:00,482
2024/1/3 19:00,481
2024/1/3 20:00,482
2024/1/3 21:00,479
2024/1/3 22:00,476
2024/1/3 23:00,418
2024/1/4 0:00,394
2024/1/4 1:00,382
2024/1/4 2:00,376
2024/1/4 3:00,372
2024/1/4 4:00,362
2024/1/4 5:00,368
2024/1/4 6:00,404
2024/1/4 7:00,440
2024/1/4 8:00,485
2024/1/4 9:00,476
2024/1/4 10:00,485
2024/1/4 11:00,456
2024/1/4 12:00,256
2024/1/4 13:00,295
2024/1/4 14:00,396
2024/1/4 15:00,428
2024/1/4 16:00,456
2024/1/4 17:00,450
2024/1/4 18:00,472
2024/1/4 19:00,486
2024/1/4 20:00,482
2024/1/4 21:00,481
2024/1/4 22:00,478
2024/1/4 23:00,425
2024/1/5 0:00,432
2024/1/5 1:00,423
2024/1/5 2:00,422
2024/1/5 3:00,409
2024/1/5 3:59,409
2024/1/5 4:59,415
2024/1/5 5:59,452
2024/1/5 6:59,482
2024/1/5 7:59,514
2024/1/5 8:59,535
2024/1/5 9:59,521
2024/1/5 10:59,487
2024/1/5 11:59,526
2024/1/5 12:59,577
2024/1/5 13:59,491
2024/1/5 14:59,464
2024/1/5 15:59,483
2024/1/5 16:59,497
2024/1/5 17:59,556
2024/1/5 18:59,569
2024/1/5 19:59,527
2024/1/5 20:59,488
2024/1/5 21:59,465
2024/1/5 22:59,415
2024/1/5 23:59,436
2024/1/6 0:59,431
2024/1/6 1:59,425
2024/1/6 2:59,411
2024/1/6 3:59,400
2024/1/6 4:59,400
2024/1/6 5:59,427
2024/1/6 6:59,460
2024/1/6 7:59,485
2024/1/6 8:59,488
2024/1/6 9:59,487
2024/1/6 10:59,470
2024/1/6 11:59,402
2024/1/6 12:59,427
2024/1/6 13:59,444
2024/1/6 14:59,470
2024/1/6 15:59,490
2024/1/6 16:59,493
2024/1/6 17:59,494
2024/1/6 18:59,485
2024/1/6 19:59,485
2024/1/6 20:59,484
2024/1/6 21:59,470
2024/1/6 22:59,414
2024/1/6 23:59,436
2024/1/7 0:59,424
2024/1/7 1:59,418
2024/1/7 2:59,411
2024/1/7 3:59,394
2024/1/7 4:59,388
2024/1/7 5:59,400
2024/1/7 6:59,407
2024/1/7 7:59,416
2024/1/7 8:59,425
2024/1/7 9:59,430
2024/1/7 10:59,418
2024/1/7 11:59,364
2024/1/7 12:59,366
2024/1/7 13:59,357
2024/1/7 14:59,406
2024/1/7 15:59,429
2024/1/7 16:59,446
2024/1/7 17:59,448
2024/1/7 18:59,448
